Name,Category,Dosage Form,Strength,Manufacturer,Indication,Classification,Chemical_Name
Dolonazole,Antiviral,Capsule,646 mg,Boehringer Ingelheim GmbH,Diabetes,Over-the-Counter,Metronidazole
Doloprofen,Antidiabetic,Drops,687 mg,GlaxoSmithKline plc,Wound,Prescription,Ibuprofen
Dolocillin,Antiviral,Inhaler,293 mg,Eli Lilly and Company,Fungus,Over-the-Counter,Ibuprofen
Cefcillin,Antipyretic,Inhaler,195 mg,Takeda Pharmaceutical Company Limited,Infection,Over-the-Counter,Cefixime
Amoxiphen,Antidiabetic,Ointment,132 mg,Johnson & Johnson,Wound,Prescription,Amoxicillin
Claristatin,Antifungal,Syrup,96 mg,Amgen Inc.,Wound,Prescription,Clarithromycin
Dolomet,Antidiabetic,Capsule,99 mg,Boehringer Ingelheim GmbH,Wound,Over-the-Counter,Paracetamol
Dolophen,Antidepressant,Inhaler,343 mg,Teva Pharmaceutical Industries Ltd.,Virus,Prescription,Paracetamol
Metomet,Antifungal,Inhaler,876 mg,Teva Pharmaceutical Industries Ltd.,Pain,Prescription,Metformin
Acetomet,Antifungal,Cream,466 mg,Bristol-Myers Squibb Company,Wound,Over-the-Counter,Paracetamol
Amoximycin,Antibiotic,Tablet,914 mg,Novo Nordisk A/S,Fever,Prescription,Amoxicillin
Amoxicillin,Antipyretic,Cream,436 mg,Boehringer Ingelheim GmbH,Fever,Over-the-Counter,Amoxicillin
Acetomet,Antidiabetic,Capsule,13 mg,Boehringer Ingelheim GmbH,Diabetes,Over-the-Counter,Paracetamol
Metocillin,Analgesic,Ointment,222 mg,AstraZeneca plc,Infection,Over-the-Counter,Metformin
Ibupromycin,Antidiabetic,Ointment,657 mg,Novo Nordisk A/S,Wound,Prescription,Azithromycin
Ibuprophen,Analgesic,Drops,232 mg,Bayer AG,Pain,Over-the-Counter,Ibuprofen
Metostatin,Antipyretic,Ointment,908 mg,Novartis AG,Infection,Prescription,Metformin
Clarimet,Antidiabetic,Drops,449 mg,Pfizer Inc.,Fever,Over-the-Counter,Clarithromycin
Dextrophen,Antidepressant,Injection,424 mg,Johnson & Johnson,Fungus,Prescription,Dextromethorphan
Cefnazole,Antidiabetic,Syrup,525 mg,Roche Holding AG,Fungus,Over-the-Counter,Cefixime
Amoxiphen,Antibiotic,Syrup,501 mg,"Merck & Co., Inc.",Virus,Over-the-Counter,Amoxicillin
Amoximycin,Antiseptic,Cream,907 mg,Eli Lilly and Company,Pain,Prescription,Amoxicillin
Ibuprophen,Analgesic,Tablet,495 mg,GlaxoSmithKline plc,Wound,Over-the-Counter,Ibuprofen
Metovir,Antipyretic,Tablet,33 mg,Amgen Inc.,Infection,Over-the-Counter,Metformin
Cefmycin,Antibiotic,Syrup,552 mg,Novartis AG,Pain,Over-the-Counter,Ceftriaxone
Dextromycin,Analgesic,Inhaler,389 mg,CSL Limited,Wound,Over-the-Counter,Azithromycin
Clariprofen,Analgesic,Capsule,988 mg,Takeda Pharmaceutical Company Limited,Diabetes,Over-the-Counter,Clarithromycin
Acetoprofen,Antidepressant,Ointment,906 mg,AbbVie Inc.,Virus,Over-the-Counter,Ibuprofen
Ibuprocillin,Antiseptic,Drops,456 mg,Roche Holding AG,Virus,Over-the-Counter,Ibuprofen
Metostatin,Antipyretic,Tablet,392 mg,AstraZeneca plc,Infection,Over-the-Counter,Metformin
Cefprofen,Antipyretic,Injection,744 mg,Bristol-Myers Squibb Company,Depression,Prescription,Cefixime
Dolomet,Antifungal,Inhaler,517 mg,AstraZeneca plc,Virus,Prescription,Paracetamol
Acetonazole,Antifungal,Capsule,737 mg,Eli Lilly and Company,Diabetes,Prescription,Ketoconazole
Clarinazole,Antibiotic,Capsule,105 mg,AstraZeneca plc,Fungus,Prescription,Clarithromycin
Dextronazole,Antibiotic,Drops,68 mg,Johnson & Johnson,Wound,Over-the-Counter,Metronidazole
Ibupronazole,Analgesic,Drops,562 mg,Novartis AG,Infection,Over-the-Counter,Ibuprofen
Acetomycin,Antifungal,Inhaler,266 mg,CSL Limited,Pain,Over-the-Counter,Amoxicillin
Acetovir,Antidepressant,Capsule,78 mg,AbbVie Inc.,Infection,Over-the-Counter,Paracetamol
Cefcillin,Antibiotic,Drops,2 mg,Teva Pharmaceutical Industries Ltd.,Wound,Prescription,Cefixime
Clariphen,Antiseptic,Syrup,905 mg,Roche Holding AG,Fungus,Prescription,Clarithromycin
Acetomycin,Antifungal,Capsule,643 mg,AstraZeneca plc,Virus,Prescription,Amoxicillin
Acetocillin,Analgesic,Capsule,323 mg,"Gilead Sciences, Inc.",Wound,Prescription,Paracetamol
Ibuprocillin,Antiseptic,Capsule,807 mg,GlaxoSmithKline plc,Infection,Over-the-Counter,Ibuprofen
Cefvir,Antipyretic,Tablet,844 mg,CSL Limited,Fever,Over-the-Counter,Cefixime
Acetomycin,Antiseptic,Cream,281 mg,AstraZeneca plc,Diabetes,Over-the-Counter,Amoxicillin
Acetomet,Antiseptic,Injection,50 mg,Pfizer Inc.,Pain,Over-the-Counter,Paracetamol
Acetocillin,Antiseptic,Cream,125 mg,Novartis AG,Pain,Prescription,Paracetamol
Dolomycin,Antibiotic,Cream,309 mg,Sanofi S.A.,Wound,Over-the-Counter,Amoxicillin
Dextroprofen,Antifungal,Syrup,285 mg,Eli Lilly and Company,Diabetes,Prescription,Ibuprofen
Amoxicillin,Antidepressant,Cream,343 mg,GlaxoSmithKline plc,Depression,Prescription,Amoxicillin
Metomycin,Antibiotic,Capsule,726 mg,Pfizer Inc.,Diabetes,Over-the-Counter,Metformin
Metophen,Antifungal,Syrup,386 mg,Boehringer Ingelheim GmbH,Virus,Prescription,Metformin
Amoxiprofen,Analgesic,Inhaler,311 mg,Takeda Pharmaceutical Company Limited,Pain,Prescription,Amoxicillin
Dolomycin,Antidiabetic,Syrup,622 mg,Boehringer Ingelheim GmbH,Fever,Over-the-Counter,Amoxicillin
Ibupronazole,Antifungal,Drops,174 mg,Takeda Pharmaceutical Company Limited,Diabetes,Over-the-Counter,Ibuprofen
Metomet,Analgesic,Capsule,652 mg,Roche Holding AG,Virus,Prescription,Metformin
Dextrostatin,Analgesic,Ointment,984 mg,Teva Pharmaceutical Industries Ltd.,Fever,Over-the-Counter,Dextromethorphan
Amoxicillin,Antidepressant,Tablet,70 mg,Eli Lilly and Company,Pain,Over-the-Counter,Amoxicillin
Doloprofen,Antidiabetic,Syrup,936 mg,GlaxoSmithKline plc,Infection,Over-the-Counter,Ibuprofen
Metocillin,Antiviral,Capsule,750 mg,Johnson & Johnson,Infection,Prescription,Metformin
Dextronazole,Antiviral,Ointment,968 mg,Johnson & Johnson,Fever,Prescription,Metronidazole
Ibuproprofen,Antipyretic,Injection,151 mg,Sanofi S.A.,Infection,Prescription,Ibuprofen
Dolomycin,Antidiabetic,Inhaler,60 mg,"Merck & Co., Inc.",Wound,Over-the-Counter,Amoxicillin
Dolomycin,Antibiotic,Capsule,783 mg,Novo Nordisk A/S,Diabetes,Prescription,Amoxicillin
Amoxistatin,Antifungal,Tablet,723 mg,Teva Pharmaceutical Industries Ltd.,Infection,Over-the-Counter,Amoxicillin
Dextronazole,Antiseptic,Drops,622 mg,CSL Limited,Wound,Over-the-Counter,Metronidazole
Dextrophen,Antiviral,Syrup,190 mg,"Gilead Sciences, Inc.",Infection,Over-the-Counter,Dextromethorphan
Clarinazole,Analgesic,Inhaler,193 mg,Biogen Inc.,Pain,Over-the-Counter,Clarithromycin
Cefstatin,Antiviral,Inhaler,411 mg,Johnson & Johnson,Wound,Over-the-Counter,Cefixime
Acetonazole,Antibiotic,Ointment,484 mg,AstraZeneca plc,Infection,Over-the-Counter,Ketoconazole
Acetoprofen,Antiviral,Drops,585 mg,Eli Lilly and Company,Pain,Prescription,Ibuprofen
Amoximet,Antifungal,Tablet,815 mg,Teva Pharmaceutical Industries Ltd.,Diabetes,Prescription,Amoxicillin
Cefnazole,Antiseptic,Tablet,372 mg,Bayer AG,Depression,Prescription,Cefixime
Dextronazole,Antidepressant,Ointment,520 mg,Bayer AG,Diabetes,Over-the-Counter,Metronidazole
Ibupronazole,Antipyretic,Inhaler,547 mg,Sanofi S.A.,Fungus,Over-the-Counter,Ibuprofen
Acetonazole,Antidepressant,Injection,522 mg,AstraZeneca plc,Virus,Over-the-Counter,Ketoconazole
Acetoprofen,Antidepressant,Cream,917 mg,Boehringer Ingelheim GmbH,Fever,Over-the-Counter,Ibuprofen
Dextrophen,Antiseptic,Inhaler,904 mg,GlaxoSmithKline plc,Fungus,Over-the-Counter,Dextromethorphan
Amoxinazole,Antiviral,Syrup,567 mg,Eli Lilly and Company,Wound,Over-the-Counter,Amoxicillin
Acetomet,Analgesic,Cream,854 mg,Boehringer Ingelheim GmbH,Wound,Prescription,Paracetamol
Cefnazole,Antipyretic,Inhaler,946 mg,Roche Holding AG,Diabetes,Prescription,Cefixime
Amoxistatin,Antibiotic,Inhaler,367 mg,Bristol-Myers Squibb Company,Diabetes,Prescription,Amoxicillin
Dextronazole,Antidepressant,Ointment,671 mg,Boehringer Ingelheim GmbH,Pain,Prescription,Metronidazole
Dextromycin,Antidepressant,Ointment,750 mg,Pfizer Inc.,Fever,Over-the-Counter,Azithromycin
Cefphen,Analgesic,Inhaler,505 mg,Amgen Inc.,Fever,Over-the-Counter,Cefixime
Cefphen,Analgesic,Cream,972 mg,"Merck & Co., Inc.",Fungus,Prescription,Cefixime
Clarimet,Antidiabetic,Injection,571 mg,Biogen Inc.,Pain,Prescription,Clarithromycin
Dextronazole,Antiviral,Cream,100 mg,Bayer AG,Virus,Prescription,Metronidazole
Metomet,Antifungal,Inhaler,593 mg,Teva Pharmaceutical Industries Ltd.,Fever,Over-the-Counter,Metformin
Metoprofen,Antipyretic,Syrup,578 mg,"Gilead Sciences, Inc.",Wound,Prescription,Metformin
Metostatin,Antibiotic,Ointment,91 mg,Johnson & Johnson,Diabetes,Prescription,Metformin
Dextrovir,Antidepressant,Cream,491 mg,Takeda Pharmaceutical Company Limited,Pain,Prescription,Dextromethorphan
Clariphen,Antibiotic,Inhaler,681 mg,Novartis AG,Infection,Over-the-Counter,Clarithromycin
Dolophen,Antipyretic,Cream,458 mg,"Gilead Sciences, Inc.",Diabetes,Prescription,Paracetamol
Ibuproprofen,Antidepressant,Injection,420 mg,Teva Pharmaceutical Industries Ltd.,Fungus,Over-the-Counter,Ibuprofen
Dolovir,Antipyretic,Syrup,943 mg,Novo Nordisk A/S,Pain,Prescription,Paracetamol
Acetostatin,Antiseptic,Tablet,968 mg,Takeda Pharmaceutical Company Limited,Fever,Over-the-Counter,Paracetamol
Dextromycin,Antipyretic,Capsule,986 mg,Takeda Pharmaceutical Company Limited,Wound,Over-the-Counter,Azithromycin
Metomycin,Antifungal,Cream,4 mg,Amgen Inc.,Virus,Over-the-Counter,Metformin
Clarimycin,Antidepressant,Syrup,337 mg,Sanofi S.A.,Wound,Over-the-Counter,Clarithromycin
Clariprofen,Antidiabetic,Injection,351 mg,Pfizer Inc.,Fungus,Over-the-Counter,Clarithromycin
Acetoprofen,Antipyretic,Inhaler,368 mg,Boehringer Ingelheim GmbH,Virus,Prescription,Ibuprofen
Dolophen,Antipyretic,Capsule,567 mg,CSL Limited,Diabetes,Over-the-Counter,Paracetamol
Metoprofen,Antifungal,Capsule,111 mg,Takeda Pharmaceutical Company Limited,Wound,Prescription,Metformin
Metostatin,Antidiabetic,Cream,252 mg,Bristol-Myers Squibb Company,Diabetes,Prescription,Metformin
Cefphen,Antipyretic,Syrup,511 mg,Sanofi S.A.,Diabetes,Over-the-Counter,Cefixime
Dolophen,Antiseptic,Inhaler,170 mg,Roche Holding AG,Virus,Over-the-Counter,Paracetamol
Ibupromycin,Antibiotic,Cream,277 mg,CSL Limited,Diabetes,Prescription,Azithromycin
Dolophen,Antipyretic,Ointment,326 mg,GlaxoSmithKline plc,Diabetes,Prescription,Paracetamol
Metoprofen,Antiviral,Injection,106 mg,Pfizer Inc.,Fungus,Over-the-Counter,Metformin
Ibuprostatin,Antiviral,Cream,135 mg,Eli Lilly and Company,Infection,Prescription,Ibuprofen
Metonazole,Antibiotic,Cream,461 mg,Novartis AG,Fever,Over-the-Counter,Metronidazole
Cefmycin,Antiseptic,Injection,37 mg,GlaxoSmithKline plc,Depression,Over-the-Counter,Ceftriaxone
Acetocillin,Antiviral,Injection,57 mg,Novartis AG,Virus,Over-the-Counter,Paracetamol
Clarivir,Antiviral,Syrup,409 mg,Takeda Pharmaceutical Company Limited,Fever,Over-the-Counter,Clarithromycin
Ibuprocillin,Antifungal,Ointment,70 mg,GlaxoSmithKline plc,Pain,Prescription,Ibuprofen
Amoxiprofen,Antidepressant,Tablet,67 mg,CSL Limited,Wound,Over-the-Counter,Amoxicillin
Metonazole,Antifungal,Inhaler,674 mg,Pfizer Inc.,Infection,Prescription,Metronidazole
Claricillin,Antipyretic,Drops,883 mg,Novartis AG,Wound,Prescription,Clarithromycin
Metostatin,Antibiotic,Ointment,967 mg,AstraZeneca plc,Infection,Prescription,Metformin
Dolonazole,Antipyretic,Inhaler,683 mg,Biogen Inc.,Fever,Over-the-Counter,Metronidazole
Ibuprocillin,Antipyretic,Injection,976 mg,AstraZeneca plc,Depression,Prescription,Ibuprofen
Amoxiphen,Antifungal,Ointment,846 mg,Amgen Inc.,Diabetes,Prescription,Amoxicillin
Ibupromycin,Analgesic,Capsule,79 mg,Eli Lilly and Company,Diabetes,Prescription,Azithromycin
Metomet,Antiseptic,Drops,941 mg,Eli Lilly and Company,Depression,Over-the-Counter,Metformin
Amoxivir,Antidiabetic,Tablet,947 mg,Sanofi S.A.,Wound,Prescription,Amoxicillin
Ibupromet,Antipyretic,Capsule,641 mg,Johnson & Johnson,Virus,Over-the-Counter,Ibuprofen
Cefvir,Antiviral,Ointment,881 mg,Johnson & Johnson,Wound,Over-the-Counter,Cefixime
Amoxiprofen,Antipyretic,Capsule,931 mg,Pfizer Inc.,Virus,Prescription,Amoxicillin
Clarivir,Antibiotic,Drops,730 mg,CSL Limited,Virus,Prescription,Clarithromycin
Clariprofen,Antidiabetic,Injection,651 mg,Bayer AG,Wound,Over-the-Counter,Clarithromycin
Cefnazole,Antifungal,Inhaler,314 mg,AstraZeneca plc,Wound,Over-the-Counter,Cefixime
Dolostatin,Analgesic,Cream,465 mg,"Gilead Sciences, Inc.",Depression,Over-the-Counter,Ibuprofen
Ibuprophen,Antibiotic,Ointment,222 mg,Novo Nordisk A/S,Infection,Over-the-Counter,Ibuprofen
Dolophen,Antidiabetic,Cream,388 mg,Biogen Inc.,Wound,Over-the-Counter,Paracetamol
Amoxinazole,Analgesic,Cream,900 mg,Novartis AG,Diabetes,Prescription,Amoxicillin
Ibuprostatin,Antifungal,Syrup,602 mg,Takeda Pharmaceutical Company Limited,Pain,Prescription,Ibuprofen
Acetoprofen,Analgesic,Injection,41 mg,Eli Lilly and Company,Fungus,Over-the-Counter,Ibuprofen
Dextronazole,Antiseptic,Capsule,237 mg,Takeda Pharmaceutical Company Limited,Infection,Over-the-Counter,Metronidazole
Dolocillin,Antifungal,Cream,961 mg,Novo Nordisk A/S,Fever,Over-the-Counter,Ibuprofen
Cefprofen,Analgesic,Ointment,386 mg,Novo Nordisk A/S,Virus,Over-the-Counter,Cefixime
Ibupronazole,Antidiabetic,Inhaler,33 mg,AbbVie Inc.,Fever,Over-the-Counter,Ibuprofen
Ibuprovir,Antibiotic,Injection,238 mg,Teva Pharmaceutical Industries Ltd.,Pain,Over-the-Counter,Ibuprofen
Clariprofen,Antiviral,Syrup,1 mg,Sanofi S.A.,Fever,Over-the-Counter,Clarithromycin
Cefprofen,Antipyretic,Ointment,218 mg,CSL Limited,Pain,Over-the-Counter,Cefixime
Metovir,Antidepressant,Cream,550 mg,Teva Pharmaceutical Industries Ltd.,Infection,Over-the-Counter,Metformin
Metomet,Analgesic,Syrup,895 mg,"Merck & Co., Inc.",Fungus,Prescription,Metformin
Dextrophen,Antidepressant,Injection,926 mg,Bayer AG,Fungus,Prescription,Dextromethorphan
Dolophen,Antidepressant,Cream,604 mg,Takeda Pharmaceutical Company Limited,Diabetes,Prescription,Paracetamol
Dolomycin,Antiviral,Capsule,852 mg,Takeda Pharmaceutical Company Limited,Fungus,Over-the-Counter,Amoxicillin
Dolomet,Antifungal,Tablet,395 mg,Amgen Inc.,Fever,Prescription,Paracetamol
Dextronazole,Antidepressant,Cream,549 mg,Roche Holding AG,Fungus,Prescription,Metronidazole
Acetomet,Antiseptic,Ointment,690 mg,CSL Limited,Fungus,Prescription,Paracetamol
Acetostatin,Antidepressant,Syrup,177 mg,AbbVie Inc.,Wound,Prescription,Paracetamol
Ibupromet,Antiviral,Cream,807 mg,Eli Lilly and Company,Pain,Prescription,Ibuprofen
Acetonazole,Antiseptic,Tablet,805 mg,Amgen Inc.,Wound,Prescription,Ketoconazole
Dextromet,Antidiabetic,Inhaler,718 mg,Eli Lilly and Company,Fever,Over-the-Counter,Dextromethorphan
Ibuprophen,Antiseptic,Tablet,140 mg,"Merck & Co., Inc.",Fever,Over-the-Counter,Ibuprofen
Claristatin,Analgesic,Drops,538 mg,"Merck & Co., Inc.",Virus,Over-the-Counter,Clarithromycin
Dextrovir,Analgesic,Ointment,871 mg,AstraZeneca plc,Pain,Prescription,Dextromethorphan
Ibupronazole,Antidiabetic,Cream,132 mg,Johnson & Johnson,Infection,Over-the-Counter,Ibuprofen
Amoxicillin,Antipyretic,Ointment,278 mg,GlaxoSmithKline plc,Depression,Over-the-Counter,Amoxicillin
Cefstatin,Antiseptic,Cream,116 mg,Pfizer Inc.,Depression,Prescription,Cefixime
Claricillin,Antifungal,Tablet,508 mg,Bristol-Myers Squibb Company,Virus,Prescription,Clarithromycin
Amoxivir,Antidiabetic,Syrup,362 mg,Takeda Pharmaceutical Company Limited,Diabetes,Over-the-Counter,Amoxicillin
Ibuprocillin,Antidiabetic,Ointment,126 mg,Bayer AG,Pain,Prescription,Ibuprofen
Dolovir,Antifungal,Ointment,386 mg,Takeda Pharmaceutical Company Limited,Infection,Over-the-Counter,Paracetamol
Dolophen,Antiviral,Cream,9 mg,Biogen Inc.,Virus,Prescription,Paracetamol
Acetostatin,Analgesic,Syrup,755 mg,Biogen Inc.,Diabetes,Over-the-Counter,Paracetamol
Metostatin,Antiviral,Ointment,216 mg,AbbVie Inc.,Fever,Prescription,Metformin
Dolomet,Antidiabetic,Tablet,681 mg,Roche Holding AG,Fever,Prescription,Paracetamol
Dolostatin,Antiseptic,Inhaler,367 mg,"Merck & Co., Inc.",Wound,Over-the-Counter,Ibuprofen
Ibupromet,Antidepressant,Ointment,663 mg,"Merck & Co., Inc.",Fungus,Over-the-Counter,Ibuprofen
Ibuprostatin,Antiviral,Drops,562 mg,Eli Lilly and Company,Infection,Prescription,Ibuprofen
Amoximycin,Antidepressant,Capsule,764 mg,GlaxoSmithKline plc,Infection,Over-the-Counter,Amoxicillin
Amoxinazole,Antibiotic,Cream,954 mg,Johnson & Johnson,Depression,Prescription,Amoxicillin
Ibupronazole,Antiseptic,Syrup,526 mg,Teva Pharmaceutical Industries Ltd.,Infection,Prescription,Ibuprofen
Claristatin,Antidiabetic,Cream,578 mg,"Merck & Co., Inc.",Virus,Over-the-Counter,Clarithromycin
Acetovir,Antiseptic,Cream,987 mg,Novartis AG,Depression,Over-the-Counter,Paracetamol
Dextromycin,Antipyretic,Syrup,554 mg,"Gilead Sciences, Inc.",Fever,Prescription,Azithromycin
Cefnazole,Antipyretic,Drops,484 mg,AstraZeneca plc,Pain,Prescription,Cefixime
Acetomycin,Antifungal,Ointment,897 mg,Johnson & Johnson,Pain,Over-the-Counter,Amoxicillin
Dolocillin,Antiseptic,Syrup,199 mg,Boehringer Ingelheim GmbH,Wound,Prescription,Ibuprofen
Dextrovir,Analgesic,Syrup,381 mg,Novo Nordisk A/S,Depression,Over-the-Counter,Dextromethorphan
Ibuprophen,Antifungal,Ointment,967 mg,AbbVie Inc.,Depression,Over-the-Counter,Ibuprofen
Cefcillin,Antiviral,Ointment,254 mg,Teva Pharmaceutical Industries Ltd.,Virus,Over-the-Counter,Cefixime
Dolomet,Antiseptic,Ointment,74 mg,GlaxoSmithKline plc,Pain,Prescription,Paracetamol
Dolonazole,Antiseptic,Inhaler,731 mg,Boehringer Ingelheim GmbH,Diabetes,Prescription,Metronidazole
Dextrophen,Antiviral,Injection,931 mg,Amgen Inc.,Infection,Over-the-Counter,Dextromethorphan
Dextrostatin,Antidiabetic,Injection,957 mg,Eli Lilly and Company,Virus,Prescription,Dextromethorphan
Amoxicillin,Antiseptic,Syrup,904 mg,AbbVie Inc.,Depression,Prescription,Amoxicillin
Dolonazole,Antidiabetic,Ointment,693 mg,Bristol-Myers Squibb Company,Diabetes,Over-the-Counter,Metronidazole
Dolocillin,Antibiotic,Tablet,14 mg,Sanofi S.A.,Infection,Over-the-Counter,Ibuprofen
Cefnazole,Analgesic,Ointment,616 mg,Boehringer Ingelheim GmbH,Depression,Prescription,Cefixime
Dolonazole,Antidepressant,Ointment,548 mg,Eli Lilly and Company,Fungus,Prescription,Metronidazole
Metostatin,Antidepressant,Drops,183 mg,Bristol-Myers Squibb Company,Fungus,Over-the-Counter,Metformin
Dextromet,Antidiabetic,Syrup,279 mg,Amgen Inc.,Depression,Over-the-Counter,Dextromethorphan
Ibuproprofen,Analgesic,Cream,689 mg,AstraZeneca plc,Fever,Over-the-Counter,Ibuprofen
Dolonazole,Antiseptic,Cream,294 mg,Novartis AG,Fever,Prescription,Metronidazole
Claricillin,Antidepressant,Capsule,286 mg,AstraZeneca plc,Fungus,Over-the-Counter,Clarithromycin
Dextroprofen,Analgesic,Tablet,731 mg,Novo Nordisk A/S,Pain,Prescription,Ibuprofen
Clarimycin,Analgesic,Syrup,381 mg,Bayer AG,Virus,Prescription,Clarithromycin
Cefcillin,Antiseptic,Inhaler,611 mg,AstraZeneca plc,Depression,Prescription,Cefixime
Acetomet,Analgesic,Ointment,375 mg,Bayer AG,Wound,Prescription,Paracetamol
Acetocillin,Antiseptic,Syrup,767 mg,Roche Holding AG,Infection,Over-the-Counter,Paracetamol
Acetophen,Antifungal,Drops,407 mg,Takeda Pharmaceutical Company Limited,Infection,Over-the-Counter,Paracetamol
Dolophen,Analgesic,Syrup,842 mg,"Gilead Sciences, Inc.",Wound,Prescription,Paracetamol
Acetoprofen,Antidiabetic,Inhaler,787 mg,Eli Lilly and Company,Pain,Over-the-Counter,Ibuprofen
Dolomet,Antipyretic,Syrup,949 mg,Bristol-Myers Squibb Company,Pain,Prescription,Paracetamol
Amoximet,Antiviral,Syrup,170 mg,Bayer AG,Diabetes,Over-the-Counter,Amoxicillin
Acetostatin,Antidiabetic,Inhaler,694 mg,Teva Pharmaceutical Industries Ltd.,Fungus,Over-the-Counter,Paracetamol
Ibuprophen,Antibiotic,Injection,507 mg,Johnson & Johnson,Virus,Prescription,Ibuprofen
Dextronazole,Antidiabetic,Ointment,385 mg,Roche Holding AG,Fungus,Over-the-Counter,Metronidazole
Cefprofen,Antibiotic,Syrup,149 mg,Teva Pharmaceutical Industries Ltd.,Fever,Over-the-Counter,Cefixime
Cefphen,Antiseptic,Syrup,309 mg,Johnson & Johnson,Infection,Prescription,Cefixime
Cefnazole,Analgesic,Capsule,802 mg,Boehringer Ingelheim GmbH,Wound,Prescription,Cefixime
Dextrocillin,Antiseptic,Ointment,550 mg,"Gilead Sciences, Inc.",Fever,Over-the-Counter,Amoxicillin
Cefvir,Antiviral,Inhaler,489 mg,Bristol-Myers Squibb Company,Pain,Prescription,Cefixime
Dolostatin,Antidiabetic,Tablet,372 mg,Bristol-Myers Squibb Company,Wound,Over-the-Counter,Ibuprofen
Metovir,Analgesic,Cream,166 mg,AstraZeneca plc,Fever,Prescription,Metformin
Amoxistatin,Antifungal,Ointment,317 mg,Sanofi S.A.,Virus,Prescription,Amoxicillin
Dolocillin,Antiviral,Cream,556 mg,GlaxoSmithKline plc,Infection,Over-the-Counter,Ibuprofen
Clarinazole,Antipyretic,Capsule,40 mg,"Merck & Co., Inc.",Fever,Prescription,Clarithromycin
Amoxiphen,Antiseptic,Capsule,198 mg,CSL Limited,Fever,Prescription,Amoxicillin
Amoxiphen,Antiviral,Inhaler,182 mg,Johnson & Johnson,Pain,Prescription,Amoxicillin
Dextrostatin,Antiviral,Injection,568 mg,Teva Pharmaceutical Industries Ltd.,Depression,Prescription,Dextromethorphan
Dolophen,Antifungal,Syrup,270 mg,Sanofi S.A.,Depression,Prescription,Paracetamol
Metovir,Analgesic,Drops,92 mg,Teva Pharmaceutical Industries Ltd.,Infection,Over-the-Counter,Metformin
Dextrocillin,Antifungal,Tablet,119 mg,AstraZeneca plc,Virus,Prescription,Amoxicillin
Acetovir,Antifungal,Drops,521 mg,Novo Nordisk A/S,Depression,Over-the-Counter,Paracetamol
Ibupronazole,Analgesic,Injection,763 mg,Eli Lilly and Company,Fungus,Over-the-Counter,Ibuprofen
Clarinazole,Antiviral,Capsule,347 mg,Roche Holding AG,Diabetes,Prescription,Clarithromycin
Acetostatin,Antiseptic,Ointment,181 mg,CSL Limited,Fever,Over-the-Counter,Paracetamol
Acetonazole,Antidepressant,Syrup,136 mg,AstraZeneca plc,Wound,Prescription,Ketoconazole
Metomet,Antiseptic,Cream,560 mg,GlaxoSmithKline plc,Infection,Prescription,Metformin
Dolonazole,Antifungal,Drops,927 mg,Johnson & Johnson,Wound,Prescription,Metronidazole
Clarivir,Antipyretic,Tablet,665 mg,GlaxoSmithKline plc,Fungus,Prescription,Clarithromycin
Dextrovir,Antiviral,Tablet,49 mg,Roche Holding AG,Wound,Over-the-Counter,Dextromethorphan
Cefcillin,Antidiabetic,Ointment,677 mg,Bristol-Myers Squibb Company,Virus,Prescription,Cefixime
Cefmycin,Antipyretic,Injection,543 mg,Boehringer Ingelheim GmbH,Pain,Prescription,Ceftriaxone
Claricillin,Antiseptic,Cream,138 mg,"Merck & Co., Inc.",Diabetes,Over-the-Counter,Clarithromycin
Dolophen,Antipyretic,Ointment,168 mg,"Merck & Co., Inc.",Wound,Over-the-Counter,Paracetamol
Acetonazole,Antifungal,Drops,909 mg,"Merck & Co., Inc.",Depression,Over-the-Counter,Ketoconazole
Ibuproprofen,Antibiotic,Capsule,117 mg,GlaxoSmithKline plc,Fungus,Over-the-Counter,Ibuprofen
Dextromycin,Antidepressant,Tablet,478 mg,AstraZeneca plc,Infection,Over-the-Counter,Azithromycin
Clarimet,Antidepressant,Syrup,941 mg,AbbVie Inc.,Fever,Prescription,Clarithromycin
Dextrophen,Antibiotic,Injection,390 mg,Novo Nordisk A/S,Virus,Prescription,Dextromethorphan
Cefprofen,Antidiabetic,Cream,382 mg,Sanofi S.A.,Virus,Prescription,Cefixime
Amoxinazole,Antifungal,Capsule,765 mg,Roche Holding AG,Fungus,Over-the-Counter,Amoxicillin
Dextromet,Antipyretic,Drops,458 mg,Novo Nordisk A/S,Depression,Prescription,Dextromethorphan
Clarinazole,Antiviral,Syrup,701 mg,Roche Holding AG,Fever,Over-the-Counter,Clarithromycin
Acetomycin,Antipyretic,Capsule,93 mg,Novartis AG,Diabetes,Prescription,Amoxicillin
Ibuprostatin,Antidiabetic,Cream,726 mg,Novo Nordisk A/S,Infection,Prescription,Ibuprofen
Amoximycin,Antipyretic,Capsule,306 mg,Johnson & Johnson,Pain,Over-the-Counter,Amoxicillin
Clarimycin,Antipyretic,Capsule,531 mg,Johnson & Johnson,Fungus,Over-the-Counter,Clarithromycin
Amoxinazole,Antifungal,Cream,807 mg,Takeda Pharmaceutical Company Limited,Wound,Prescription,Amoxicillin
Clariprofen,Antidiabetic,Syrup,739 mg,CSL Limited,Fungus,Over-the-Counter,Clarithromycin
