Name,Category,Dosage Form,Strength,Manufacturer,Indication,Classification
Metocillin,Antidepressant,Inhaler,8 mg,AstraZeneca plc,Virus,Prescription
Amoxicillin,Antiviral,Cream,987 mg,Novartis AG,Fungus,Over-the-Counter
Dolomycin,Antipyretic,Injection,111 mg,Amgen Inc.,Depression,Prescription
Dextroprofen,Antibiotic,Capsule,219 mg,Bayer AG,Wound,Prescription
Dolomet,Antiseptic,Drops,528 mg,Amgen Inc.,Pain,Over-the-Counter
Amoxicillin,Antiviral,Drops,758 mg,GlaxoSmithKline plc,Wound,Over-the-Counter
Dolocillin,Analgesic,Injection,533 mg,Bayer AG,Infection,Over-the-Counter
Dolostatin,Antidepressant,Inhaler,504 mg,Boehringer Ingelheim GmbH,Virus,Over-the-Counter
Cefmycin,Analgesic,Cream,645 mg,Bayer AG,Diabetes,Over-the-Counter
Ibuprocillin,Analgesic,Drops,30 mg,CSL Limited,Pain,Over-the-Counter
Dolomycin,Antibiotic,Drops,274 mg,Eli Lilly and Company,Fungus,Over-the-Counter
Dextromycin,Antidepressant,Inhaler,849 mg,Pfizer Inc.,Infection,Over-the-Counter
Metovir,Antiviral,Capsule,750 mg,Teva Pharmaceutical Industries Ltd.,Wound,Prescription
Dolovir,Antiviral,Capsule,296 mg,"Merck & Co., Inc.",Fungus,Over-the-Counter
Amoxinazole,Antidepressant,Tablet,873 mg,Bayer AG,Depression,Prescription
Dolocillin,Analgesic,Ointment,18 mg,Takeda Pharmaceutical Company Limited,Virus,Over-the-Counter
Cefmycin,Antiseptic,Ointment,884 mg,Johnson & Johnson,Fungus,Prescription
Dolovir,Antipyretic,Syrup,657 mg,Boehringer Ingelheim GmbH,Pain,Prescription
Ibuprocillin,Analgesic,Cream,903 mg,Johnson & Johnson,Infection,Over-the-Counter
Dextromet,Antibiotic,Tablet,2 mg,Pfizer Inc.,Wound,Prescription
Acetoprofen,Antipyretic,Capsule,194 mg,Boehringer Ingelheim GmbH,Depression,Over-the-Counter
Amoxiprofen,Antifungal,Ointment,220 mg,GlaxoSmithKline plc,Virus,Prescription
Cefcillin,Analgesic,Cream,136 mg,Boehringer Ingelheim GmbH,Depression,Prescription
Dextrostatin,Antibiotic,Drops,92 mg,Bristol-Myers Squibb Company,Fever,Prescription
Metostatin,Antiviral,Ointment,832 mg,Eli Lilly and Company,Infection,Prescription
Amoximet,Antidepressant,Drops,580 mg,AstraZeneca plc,Fungus,Over-the-Counter
Cefvir,Antipyretic,Injection,250 mg,Biogen Inc.,Pain,Prescription
Acetovir,Antiseptic,Injection,103 mg,Biogen Inc.,Fever,Over-the-Counter
Metoprofen,Antibiotic,Tablet,416 mg,Bristol-Myers Squibb Company,Wound,Prescription
Metophen,Antiseptic,Cream,755 mg,Teva Pharmaceutical Industries Ltd.,Infection,Prescription
Ibuprophen,Antibiotic,Capsule,615 mg,Bristol-Myers Squibb Company,Fever,Over-the-Counter
Claristatin,Antidepressant,Drops,121 mg,Teva Pharmaceutical Industries Ltd.,Pain,Prescription
Amoxiprofen,Antipyretic,Capsule,943 mg,GlaxoSmithKline plc,Pain,Over-the-Counter
Metocillin,Antibiotic,Cream,160 mg,Teva Pharmaceutical Industries Ltd.,Depression,Over-the-Counter
Acetovir,Analgesic,Ointment,21 mg,"Merck & Co., Inc.",Wound,Over-the-Counter
Cefprofen,Antibiotic,Tablet,491 mg,Novartis AG,Virus,Over-the-Counter
Clarivir,Antidepressant,Capsule,310 mg,"Gilead Sciences, Inc.",Depression,Prescription
Cefvir,Analgesic,Injection,816 mg,Sanofi S.A.,Diabetes,Prescription
Dolostatin,Antifungal,Syrup,11 mg,GlaxoSmithKline plc,Depression,Prescription
Cefcillin,Antipyretic,Cream,9 mg,Takeda Pharmaceutical Company Limited,Diabetes,Prescription
Dextrovir,Antiseptic,Drops,352 mg,Biogen Inc.,Infection,Prescription
Cefstatin,Antiseptic,Tablet,581 mg,Boehringer Ingelheim GmbH,Virus,Prescription
Ibuproprofen,Antidepressant,Cream,330 mg,CSL Limited,Fungus,Over-the-Counter
Cefmycin,Analgesic,Capsule,977 mg,Biogen Inc.,Fungus,Prescription
Dextrostatin,Analgesic,Ointment,451 mg,Bristol-Myers Squibb Company,Depression,Over-the-Counter
Dolomet,Antifungal,Tablet,67 mg,Novo Nordisk A/S,Fungus,Over-the-Counter
Cefmet,Analgesic,Capsule,266 mg,AstraZeneca plc,Infection,Over-the-Counter
Dextromycin,Antidiabetic,Syrup,289 mg,CSL Limited,Pain,Prescription
Clarimet,Antipyretic,Injection,790 mg,CSL Limited,Wound,Over-the-Counter
Claricillin,Antiseptic,Drops,7 mg,Pfizer Inc.,Infection,Over-the-Counter
Ibupromet,Antiseptic,Tablet,876 mg,Johnson & Johnson,Depression,Prescription
Dextrovir,Antibiotic,Drops,780 mg,"Gilead Sciences, Inc.",Virus,Prescription
Amoxivir,Antibiotic,Injection,898 mg,Eli Lilly and Company,Wound,Prescription
Dextromycin,Antipyretic,Drops,554 mg,Takeda Pharmaceutical Company Limited,Fungus,Prescription
Dolomet,Antiseptic,Injection,660 mg,AbbVie Inc.,Pain,Over-the-Counter
Amoxistatin,Antibiotic,Syrup,481 mg,Bayer AG,Infection,Prescription
Acetocillin,Antipyretic,Cream,747 mg,Boehringer Ingelheim GmbH,Pain,Over-the-Counter
Dextroprofen,Antibiotic,Cream,592 mg,AbbVie Inc.,Virus,Prescription
Clariphen,Antiviral,Tablet,574 mg,Roche Holding AG,Diabetes,Over-the-Counter
Acetonazole,Antibiotic,Capsule,166 mg,AbbVie Inc.,Wound,Over-the-Counter
Metonazole,Antidepressant,Drops,768 mg,"Gilead Sciences, Inc.",Infection,Prescription
Clariprofen,Antiseptic,Inhaler,110 mg,Bayer AG,Depression,Prescription
Amoxiprofen,Antiviral,Tablet,129 mg,GlaxoSmithKline plc,Fever,Over-the-Counter
Dolostatin,Antifungal,Capsule,885 mg,Bristol-Myers Squibb Company,Depression,Over-the-Counter
Clarinazole,Antiviral,Inhaler,926 mg,"Merck & Co., Inc.",Depression,Over-the-Counter
Clarivir,Antibiotic,Tablet,532 mg,Takeda Pharmaceutical Company Limited,Virus,Over-the-Counter
Dextrovir,Antidiabetic,Syrup,957 mg,Teva Pharmaceutical Industries Ltd.,Wound,Over-the-Counter
Metonazole,Antipyretic,Tablet,79 mg,Roche Holding AG,Infection,Over-the-Counter
Dolovir,Analgesic,Cream,609 mg,Boehringer Ingelheim GmbH,Virus,Over-the-Counter
Doloprofen,Antipyretic,Tablet,105 mg,Bayer AG,Virus,Over-the-Counter
Clariphen,Antiviral,Syrup,25 mg,Bayer AG,Virus,Over-the-Counter
Metocillin,Antibiotic,Drops,247 mg,"Gilead Sciences, Inc.",Infection,Over-the-Counter
Cefphen,Antiviral,Cream,610 mg,Teva Pharmaceutical Industries Ltd.,Pain,Prescription
Claristatin,Antipyretic,Drops,775 mg,Boehringer Ingelheim GmbH,Fever,Over-the-Counter
Dolonazole,Antiviral,Inhaler,278 mg,Novartis AG,Diabetes,Over-the-Counter
Metonazole,Antidiabetic,Drops,509 mg,AstraZeneca plc,Depression,Prescription
Claristatin,Analgesic,Ointment,668 mg,"Gilead Sciences, Inc.",Depression,Prescription
Acetostatin,Antibiotic,Syrup,193 mg,AstraZeneca plc,Wound,Over-the-Counter
Metomet,Antiviral,Drops,39 mg,Sanofi S.A.,Depression,Prescription
Amoximet,Analgesic,Inhaler,21 mg,AbbVie Inc.,Wound,Over-the-Counter
Cefnazole,Antipyretic,Ointment,579 mg,Teva Pharmaceutical Industries Ltd.,Infection,Over-the-Counter
Amoxinazole,Antidepressant,Tablet,49 mg,AstraZeneca plc,Diabetes,Prescription
Ibuprovir,Antiviral,Ointment,199 mg,Novo Nordisk A/S,Depression,Prescription
Metoprofen,Antifungal,Ointment,104 mg,"Merck & Co., Inc.",Infection,Over-the-Counter
Dolophen,Antiviral,Drops,11 mg,Boehringer Ingelheim GmbH,Depression,Prescription
Acetophen,Antiviral,Capsule,163 mg,Takeda Pharmaceutical Company Limited,Wound,Over-the-Counter
Cefmet,Antiviral,Injection,47 mg,Johnson & Johnson,Wound,Over-the-Counter
Metovir,Antidepressant,Cream,163 mg,Novo Nordisk A/S,Wound,Prescription
Clarivir,Antipyretic,Inhaler,639 mg,AbbVie Inc.,Diabetes,Over-the-Counter
Cefphen,Antipyretic,Drops,506 mg,Bristol-Myers Squibb Company,Pain,Over-the-Counter
Metophen,Antipyretic,Drops,283 mg,Bristol-Myers Squibb Company,Depression,Over-the-Counter
Metomycin,Antipyretic,Cream,180 mg,GlaxoSmithKline plc,Wound,Prescription
Cefmycin,Antiseptic,Injection,122 mg,Teva Pharmaceutical Industries Ltd.,Fever,Prescription
Cefmycin,Antipyretic,Drops,955 mg,"Gilead Sciences, Inc.",Wound,Prescription
Acetoprofen,Antidepressant,Syrup,670 mg,CSL Limited,Depression,Over-the-Counter
Clarimet,Antibiotic,Cream,872 mg,Sanofi S.A.,Diabetes,Prescription
Dolophen,Antifungal,Drops,622 mg,Sanofi S.A.,Pain,Over-the-Counter
Cefmet,Antiviral,Ointment,711 mg,"Gilead Sciences, Inc.",Fever,Over-the-Counter
Metomycin,Antibiotic,Injection,122 mg,Takeda Pharmaceutical Company Limited,Fungus,Prescription
Dolomet,Antiviral,Tablet,32 mg,Takeda Pharmaceutical Company Limited,Fungus,Over-the-Counter
Ibuproprofen,Antifungal,Inhaler,481 mg,Bristol-Myers Squibb Company,Wound,Over-the-Counter
Clariphen,Antifungal,Inhaler,706 mg,Pfizer Inc.,Pain,Prescription
Metocillin,Antifungal,Drops,341 mg,Eli Lilly and Company,Pain,Over-the-Counter
Ibupronazole,Antipyretic,Cream,524 mg,Sanofi S.A.,Fungus,Over-the-Counter
Dextronazole,Antidiabetic,Syrup,459 mg,Novartis AG,Wound,Prescription
Acetomet,Antidepressant,Injection,157 mg,Novartis AG,Wound,Over-the-Counter
Ibupromycin,Antiseptic,Injection,332 mg,AbbVie Inc.,Depression,Over-the-Counter
Clarimycin,Antidepressant,Syrup,351 mg,Eli Lilly and Company,Depression,Over-the-Counter
Amoxistatin,Antifungal,Cream,720 mg,Roche Holding AG,Virus,Prescription
Metonazole,Analgesic,Cream,839 mg,Novo Nordisk A/S,Depression,Over-the-Counter
Acetomycin,Antibiotic,Injection,521 mg,Boehringer Ingelheim GmbH,Wound,Prescription
Cefcillin,Antifungal,Cream,979 mg,"Gilead Sciences, Inc.",Virus,Over-the-Counter
Metophen,Analgesic,Ointment,138 mg,GlaxoSmithKline plc,Pain,Over-the-Counter
Acetomet,Analgesic,Capsule,76 mg,Pfizer Inc.,Wound,Over-the-Counter
Ibuprophen,Antibiotic,Injection,905 mg,"Merck & Co., Inc.",Fever,Over-the-Counter
Dolomet,Antidepressant,Syrup,64 mg,AstraZeneca plc,Fever,Over-the-Counter
Amoxiprofen,Antipyretic,Injection,940 mg,Amgen Inc.,Pain,Prescription
Clarimet,Antifungal,Cream,44 mg,GlaxoSmithKline plc,Depression,Over-the-Counter
Acetovir,Antiseptic,Syrup,504 mg,Johnson & Johnson,Fever,Prescription
Amoxiprofen,Antipyretic,Inhaler,943 mg,GlaxoSmithKline plc,Wound,Prescription
Ibupronazole,Antifungal,Ointment,879 mg,AbbVie Inc.,Depression,Prescription
Metocillin,Antibiotic,Tablet,50 mg,GlaxoSmithKline plc,Fever,Over-the-Counter
Claristatin,Antibiotic,Inhaler,649 mg,Johnson & Johnson,Diabetes,Over-the-Counter
Metocillin,Antidiabetic,Injection,861 mg,Teva Pharmaceutical Industries Ltd.,Wound,Over-the-Counter
Ibupronazole,Antidepressant,Ointment,298 mg,Johnson & Johnson,Fever,Over-the-Counter
Clarimycin,Antiseptic,Drops,973 mg,Sanofi S.A.,Infection,Over-the-Counter
Acetonazole,Antiseptic,Syrup,940 mg,"Gilead Sciences, Inc.",Fever,Over-the-Counter
Claristatin,Antipyretic,Inhaler,212 mg,Amgen Inc.,Infection,Over-the-Counter
Dextrocillin,Antidiabetic,Drops,317 mg,Johnson & Johnson,Wound,Prescription
Clarivir,Antibiotic,Injection,682 mg,"Merck & Co., Inc.",Pain,Over-the-Counter
Amoxicillin,Antiviral,Cream,306 mg,"Merck & Co., Inc.",Pain,Over-the-Counter
Acetovir,Antidiabetic,Capsule,791 mg,Novartis AG,Wound,Over-the-Counter
Metomet,Antiseptic,Ointment,219 mg,Roche Holding AG,Pain,Over-the-Counter
Ibuprocillin,Antifungal,Cream,681 mg,GlaxoSmithKline plc,Virus,Over-the-Counter
Dextrocillin,Antifungal,Inhaler,827 mg,Johnson & Johnson,Infection,Over-the-Counter
Ibupromet,Antidiabetic,Cream,536 mg,Teva Pharmaceutical Industries Ltd.,Pain,Over-the-Counter
Dolocillin,Antipyretic,Tablet,680 mg,Novartis AG,Virus,Prescription
Dextrophen,Analgesic,Drops,5 mg,Roche Holding AG,Diabetes,Over-the-Counter
Amoxiprofen,Antidiabetic,Drops,205 mg,"Merck & Co., Inc.",Fever,Prescription
Metomycin,Antidiabetic,Injection,85 mg,Eli Lilly and Company,Infection,Over-the-Counter
Ibuproprofen,Antidepressant,Cream,417 mg,Bristol-Myers Squibb Company,Pain,Over-the-Counter
Cefmet,Antibiotic,Capsule,419 mg,"Merck & Co., Inc.",Fungus,Over-the-Counter
Acetoprofen,Antiseptic,Injection,354 mg,Bayer AG,Infection,Prescription
Ibuprovir,Analgesic,Injection,72 mg,GlaxoSmithKline plc,Fever,Over-the-Counter
Clarimet,Antiseptic,Tablet,30 mg,Bayer AG,Virus,Prescription
Dextrophen,Antiseptic,Ointment,391 mg,Eli Lilly and Company,Infection,Over-the-Counter
Cefprofen,Antifungal,Injection,436 mg,AbbVie Inc.,Fever,Prescription
Doloprofen,Analgesic,Inhaler,127 mg,Johnson & Johnson,Pain,Over-the-Counter
Ibuproprofen,Antipyretic,Drops,372 mg,"Gilead Sciences, Inc.",Depression,Prescription
Acetomet,Antibiotic,Inhaler,421 mg,CSL Limited,Virus,Over-the-Counter
Amoxicillin,Antiviral,Syrup,410 mg,Johnson & Johnson,Virus,Over-the-Counter
Doloprofen,Antidepressant,Drops,752 mg,Amgen Inc.,Pain,Over-the-Counter
Dextroprofen,Analgesic,Syrup,617 mg,Sanofi S.A.,Fever,Over-the-Counter
Acetovir,Analgesic,Tablet,971 mg,Johnson & Johnson,Pain,Over-the-Counter
Cefvir,Analgesic,Syrup,80 mg,Johnson & Johnson,Diabetes,Prescription
Ibuprocillin,Antibiotic,Ointment,361 mg,Bristol-Myers Squibb Company,Fungus,Over-the-Counter
Claristatin,Antibiotic,Capsule,779 mg,Boehringer Ingelheim GmbH,Virus,Prescription
Dextromet,Antiseptic,Syrup,154 mg,Boehringer Ingelheim GmbH,Virus,Over-the-Counter
Acetonazole,Antidepressant,Ointment,766 mg,Bayer AG,Infection,Over-the-Counter
Acetoprofen,Analgesic,Ointment,552 mg,Sanofi S.A.,Pain,Over-the-Counter
Dextrophen,Antidiabetic,Cream,928 mg,Pfizer Inc.,Wound,Over-the-Counter
Dextromycin,Antifungal,Syrup,70 mg,Pfizer Inc.,Depression,Prescription
Clarimycin,Analgesic,Syrup,930 mg,CSL Limited,Diabetes,Over-the-Counter
Acetomycin,Antiseptic,Tablet,124 mg,Pfizer Inc.,Virus,Prescription
Ibuprostatin,Antidiabetic,Drops,479 mg,GlaxoSmithKline plc,Fever,Prescription
Cefmycin,Antiviral,Inhaler,407 mg,"Merck & Co., Inc.",Infection,Prescription
Dolocillin,Antibiotic,Ointment,201 mg,AstraZeneca plc,Infection,Over-the-Counter
Clariphen,Antiseptic,Capsule,151 mg,Sanofi S.A.,Depression,Prescription
Ibuprovir,Antipyretic,Ointment,954 mg,Amgen Inc.,Fungus,Prescription
Dolonazole,Antidiabetic,Inhaler,136 mg,Sanofi S.A.,Pain,Over-the-Counter
Cefphen,Antipyretic,Syrup,29 mg,Amgen Inc.,Infection,Prescription
Ibuprovir,Antidepressant,Syrup,758 mg,Eli Lilly and Company,Fungus,Over-the-Counter
Dolonazole,Antidiabetic,Syrup,875 mg,Pfizer Inc.,Virus,Over-the-Counter
Doloprofen,Antifungal,Tablet,495 mg,Novo Nordisk A/S,Fungus,Over-the-Counter
Metophen,Antipyretic,Inhaler,213 mg,Sanofi S.A.,Virus,Prescription
Dolonazole,Antibiotic,Cream,767 mg,Biogen Inc.,Depression,Prescription
Clariprofen,Antidepressant,Injection,413 mg,AbbVie Inc.,Infection,Over-the-Counter
Cefmet,Antibiotic,Tablet,415 mg,Teva Pharmaceutical Industries Ltd.,Fungus,Prescription
Acetovir,Antifungal,Drops,171 mg,"Gilead Sciences, Inc.",Fever,Over-the-Counter
Acetophen,Antidepressant,Inhaler,902 mg,Takeda Pharmaceutical Company Limited,Fungus,Prescription
Cefnazole,Antipyretic,Syrup,104 mg,"Merck & Co., Inc.",Diabetes,Prescription
Acetostatin,Antifungal,Tablet,141 mg,Eli Lilly and Company,Diabetes,Prescription
Clariphen,Antiseptic,Capsule,172 mg,Johnson & Johnson,Wound,Prescription
Amoxistatin,Antidepressant,Cream,794 mg,GlaxoSmithKline plc,Infection,Over-the-Counter
Ibuprostatin,Antiseptic,Cream,161 mg,Roche Holding AG,Infection,Prescription
Ibuprophen,Antipyretic,Injection,727 mg,Novo Nordisk A/S,Fever,Prescription
Dolomet,Antidiabetic,Tablet,456 mg,Eli Lilly and Company,Fungus,Prescription
Amoximycin,Antipyretic,Tablet,954 mg,Teva Pharmaceutical Industries Ltd.,Wound,Prescription
Ibupronazole,Antiviral,Capsule,253 mg,Teva Pharmaceutical Industries Ltd.,Pain,Over-the-Counter
Acetovir,Antidiabetic,Capsule,26 mg,AstraZeneca plc,Virus,Prescription
Metocillin,Antidepressant,Tablet,9 mg,"Merck & Co., Inc.",Wound,Over-the-Counter
Metostatin,Antiviral,Tablet,870 mg,GlaxoSmithKline plc,Diabetes,Prescription
Ibupromet,Antiseptic,Drops,204 mg,Roche Holding AG,Fungus,Prescription
Clarivir,Antipyretic,Capsule,108 mg,"Merck & Co., Inc.",Wound,Over-the-Counter
Acetophen,Antidepressant,Tablet,269 mg,Novo Nordisk A/S,Fungus,Prescription
Cefprofen,Antipyretic,Capsule,703 mg,"Gilead Sciences, Inc.",Virus,Prescription
Metoprofen,Antiviral,Inhaler,746 mg,Eli Lilly and Company,Depression,Prescription
Dolomet,Antiviral,Ointment,15 mg,AbbVie Inc.,Virus,Prescription
Acetomet,Antifungal,Drops,499 mg,GlaxoSmithKline plc,Wound,Prescription
Claristatin,Antiviral,Inhaler,116 mg,Pfizer Inc.,Diabetes,Over-the-Counter
Acetostatin,Antibiotic,Cream,336 mg,GlaxoSmithKline plc,Depression,Prescription
Amoxiphen,Antifungal,Tablet,170 mg,"Gilead Sciences, Inc.",Fever,Over-the-Counter
Doloprofen,Antiviral,Syrup,12 mg,Boehringer Ingelheim GmbH,Infection,Over-the-Counter
Dextronazole,Analgesic,Cream,896 mg,Johnson & Johnson,Virus,Over-the-Counter
Clarinazole,Antiseptic,Ointment,995 mg,Bristol-Myers Squibb Company,Infection,Over-the-Counter
Dextrophen,Antibiotic,Drops,865 mg,Takeda Pharmaceutical Company Limited,Depression,Prescription
Metoprofen,Antidiabetic,Inhaler,44 mg,AbbVie Inc.,Wound,Over-the-Counter
Metostatin,Antipyretic,Cream,678 mg,Bayer AG,Pain,Prescription
Clariphen,Analgesic,Cream,205 mg,"Gilead Sciences, Inc.",Virus,Over-the-Counter
Amoxicillin,Antidepressant,Syrup,102 mg,Novartis AG,Fungus,Over-the-Counter
Ibupromet,Antidepressant,Injection,611 mg,AstraZeneca plc,Wound,Over-the-Counter
Dextronazole,Antidiabetic,Ointment,626 mg,Novartis AG,Virus,Over-the-Counter
Ibupromycin,Antidiabetic,Inhaler,510 mg,Pfizer Inc.,Depression,Over-the-Counter
Cefvir,Antifungal,Drops,573 mg,Pfizer Inc.,Pain,Prescription
Amoximet,Antidiabetic,Injection,919 mg,CSL Limited,Virus,Prescription
Ibuprophen,Antidiabetic,Inhaler,930 mg,Bayer AG,Pain,Prescription
Metomycin,Antibiotic,Cream,884 mg,CSL Limited,Virus,Over-the-Counter
Cefprofen,Antiviral,Ointment,580 mg,Teva Pharmaceutical Industries Ltd.,Depression,Over-the-Counter
Dextrovir,Antidepressant,Tablet,915 mg,Takeda Pharmaceutical Company Limited,Wound,Over-the-Counter
Claricillin,Antidepressant,Inhaler,837 mg,Novo Nordisk A/S,Infection,Prescription
Cefcillin,Antifungal,Tablet,522 mg,Roche Holding AG,Pain,Prescription
Ibupronazole,Antidepressant,Capsule,471 mg,Pfizer Inc.,Wound,Prescription
Clariphen,Antiviral,Inhaler,656 mg,"Gilead Sciences, Inc.",Depression,Prescription
Metocillin,Antipyretic,Inhaler,304 mg,Sanofi S.A.,Depression,Prescription
Amoximet,Antiseptic,Tablet,894 mg,Eli Lilly and Company,Virus,Over-the-Counter
Metophen,Antidepressant,Tablet,851 mg,Pfizer Inc.,Virus,Prescription
Dextrophen,Antidiabetic,Capsule,594 mg,Bayer AG,Wound,Prescription
Metostatin,Antidepressant,Capsule,738 mg,CSL Limited,Pain,Prescription
Dextrophen,Analgesic,Tablet,451 mg,Novartis AG,Fever,Over-the-Counter
Ibupronazole,Antiseptic,Injection,64 mg,Pfizer Inc.,Diabetes,Over-the-Counter
Metoprofen,Antidiabetic,Inhaler,974 mg,Amgen Inc.,Diabetes,Over-the-Counter
Dextromycin,Antipyretic,Ointment,988 mg,Bayer AG,Infection,Prescription
Dextrostatin,Antiseptic,Injection,751 mg,CSL Limited,Fungus,Over-the-Counter
Clariphen,Analgesic,Capsule,923 mg,Sanofi S.A.,Diabetes,Over-the-Counter
Cefmet,Antidepressant,Capsule,102 mg,Bristol-Myers Squibb Company,Virus,Prescription
Clariprofen,Antidiabetic,Injection,174 mg,Johnson & Johnson,Depression,Over-the-Counter
Amoximet,Antiseptic,Tablet,198 mg,Johnson & Johnson,Virus,Prescription
Clarimet,Antidepressant,Syrup,450 mg,Novo Nordisk A/S,Fungus,Prescription
Metocillin,Antibiotic,Inhaler,970 mg,Amgen Inc.,Diabetes,Prescription
Ibuprovir,Antidepressant,Ointment,169 mg,Novartis AG,Fever,Prescription
Metonazole,Antiviral,Cream,129 mg,Johnson & Johnson,Diabetes,Over-the-Counter
Amoxivir,Antiviral,Cream,22 mg,Bayer AG,Virus,Over-the-Counter
Dextrophen,Antiseptic,Ointment,490 mg,AbbVie Inc.,Virus,Over-the-Counter
Ibupromet,Antibiotic,Syrup,102 mg,Amgen Inc.,Infection,Over-the-Counter
Acetophen,Antipyretic,Ointment,882 mg,Amgen Inc.,Infection,Over-the-Counter
Ibupronazole,Antipyretic,Syrup,100 mg,Bristol-Myers Squibb Company,Wound,Prescription
Dextronazole,Analgesic,Tablet,723 mg,Bristol-Myers Squibb Company,Infection,Prescription
Amoxiprofen,Antifungal,Tablet,255 mg,Biogen Inc.,Virus,Over-the-Counter
Amoxicillin,Antibiotic,Drops,727 mg,Roche Holding AG,Fungus,Prescription
Acetomycin,Antifungal,Syrup,971 mg,Biogen Inc.,Diabetes,Over-the-Counter
Dextrocillin,Antiviral,Cream,558 mg,Bristol-Myers Squibb Company,Pain,Over-the-Counter
Acetocillin,Antibiotic,Tablet,211 mg,"Merck & Co., Inc.",Wound,Prescription
Amoxistatin,Antiviral,Drops,357 mg,AbbVie Inc.,Fungus,Prescription
Claristatin,Antidiabetic,Ointment,782 mg,GlaxoSmithKline plc,Fungus,Over-the-Counter
Metonazole,Antidepressant,Syrup,292 mg,AbbVie Inc.,Fever,Over-the-Counter
Clarimycin,Antibiotic,Drops,62 mg,Bristol-Myers Squibb Company,Diabetes,Over-the-Counter
Metocillin,Antibiotic,Drops,483 mg,"Gilead Sciences, Inc.",Infection,Over-the-Counter
Amoxicillin,Antiseptic,Ointment,26 mg,Takeda Pharmaceutical Company Limited,Wound,Prescription
Acetophen,Antipyretic,Injection,290 mg,CSL Limited,Wound,Prescription
Clarimet,Antifungal,Tablet,752 mg,Takeda Pharmaceutical Company Limited,Wound,Over-the-Counter
Ibuproprofen,Antibiotic,Injection,532 mg,Bristol-Myers Squibb Company,Depression,Prescription
Clarivir,Antiseptic,Ointment,779 mg,Pfizer Inc.,Virus,Over-the-Counter
Ibuproprofen,Antiviral,Injection,792 mg,Teva Pharmaceutical Industries Ltd.,Virus,Over-the-Counter
Metomet,Analgesic,Syrup,271 mg,Bayer AG,Fungus,Over-the-Counter
Ibupromycin,Antidepressant,Syrup,209 mg,Takeda Pharmaceutical Company Limited,Wound,Prescription
Dolostatin,Analgesic,Tablet,922 mg,Biogen Inc.,Fever,Prescription
Metostatin,Antiviral,Capsule,147 mg,"Gilead Sciences, Inc.",Depression,Over-the-Counter
Ibupromet,Antiviral,Injection,506 mg,Roche Holding AG,Virus,Prescription
Metonazole,Antiviral,Tablet,249 mg,AstraZeneca plc,Pain,Prescription
Cefmet,Antipyretic,Syrup,492 mg,Novo Nordisk A/S,Diabetes,Over-the-Counter
Claricillin,Antidepressant,Inhaler,72 mg,Bristol-Myers Squibb Company,Infection,Over-the-Counter
Clarivir,Antibiotic,Cream,578 mg,"Gilead Sciences, Inc.",Virus,Over-the-Counter
Dextroprofen,Antiseptic,Capsule,195 mg,Teva Pharmaceutical Industries Ltd.,Fungus,Over-the-Counter
Ibuprovir,Antidepressant,Drops,352 mg,Sanofi S.A.,Fungus,Prescription
Ibuprocillin,Antiseptic,Drops,420 mg,Roche Holding AG,Fever,Over-the-Counter
Amoxiprofen,Antiviral,Capsule,431 mg,CSL Limited,Depression,Prescription
Amoxinazole,Antidiabetic,Tablet,59 mg,Pfizer Inc.,Pain,Over-the-Counter
Clarimycin,Antifungal,Cream,913 mg,Eli Lilly and Company,Fever,Over-the-Counter
Amoxiphen,Antidepressant,Syrup,488 mg,AbbVie Inc.,Pain,Prescription
Dolovir,Analgesic,Cream,741 mg,Novo Nordisk A/S,Virus,Prescription
Clarimycin,Antiseptic,Drops,790 mg,Eli Lilly and Company,Virus,Prescription
Claristatin,Antidepressant,Injection,270 mg,Novo Nordisk A/S,Diabetes,Prescription
Metovir,Antibiotic,Injection,82 mg,AbbVie Inc.,Fever,Over-the-Counter
Dextrovir,Antifungal,Cream,296 mg,CSL Limited,Wound,Prescription
Dolonazole,Antiseptic,Syrup,174 mg,Takeda Pharmaceutical Company Limited,Diabetes,Prescription
Amoxiprofen,Antifungal,Cream,305 mg,"Gilead Sciences, Inc.",Fungus,Prescription
Doloprofen,Antiseptic,Inhaler,586 mg,Novartis AG,Wound,Over-the-Counter
Cefprofen,Analgesic,Syrup,258 mg,Boehringer Ingelheim GmbH,Pain,Over-the-Counter
Amoxinazole,Antipyretic,Cream,644 mg,GlaxoSmithKline plc,Infection,Prescription
Dolocillin,Antiseptic,Syrup,289 mg,CSL Limited,Diabetes,Over-the-Counter
Amoximycin,Antifungal,Ointment,772 mg,"Gilead Sciences, Inc.",Fever,Prescription
Metovir,Antifungal,Capsule,214 mg,Teva Pharmaceutical Industries Ltd.,Depression,Prescription
Amoxinazole,Antifungal,Drops,441 mg,Biogen Inc.,Fever,Prescription
Dextrocillin,Analgesic,Injection,783 mg,Bayer AG,Virus,Prescription
Amoximycin,Antiviral,Capsule,382 mg,GlaxoSmithKline plc,Pain,Over-the-Counter
Amoxiphen,Antiviral,Injection,14 mg,Bristol-Myers Squibb Company,Wound,Over-the-Counter
Dolomycin,Antidiabetic,Drops,582 mg,Bayer AG,Wound,Prescription
Metomet,Antibiotic,Ointment,793 mg,"Merck & Co., Inc.",Fungus,Over-the-Counter
Cefstatin,Antidiabetic,Tablet,463 mg,GlaxoSmithKline plc,Fungus,Prescription
